latitude,longitude,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.368695,-70.69052166666667,24.63,26.01,32.12,955.79,0.0,"21/01, 20:16:44"
-33.368695,-70.69052166666667,24.63,26.01,32.12,955.79,0.0,"21/01, 20:16:44"
-33.368721666666666,-70.6905,24.63,25.98,32.23,955.79,0.01,"21/01, 20:16:47"
-33.368721666666666,-70.6905,24.63,25.98,32.23,955.79,0.01,"21/01, 20:16:47"
-33.36873666666666,-70.69048833333333,24.6,25.94,32.12,955.78,-0.0,"21/01, 20:16:52"
-33.36873666666666,-70.69048833333333,24.6,25.94,32.12,955.78,-0.0,"21/01, 20:16:52"
-33.368743333333335,-70.69045833333334,24.6,25.94,32.23,955.8,0.18,"21/01, 20:16:56"
-33.368743333333335,-70.69045833333334,24.6,25.94,32.23,955.8,0.18,"21/01, 20:16:56"
-33.368755,-70.69041166666666,24.6,25.94,32.23,955.76,-0.0,"21/01, 20:17:01"
-33.368755,-70.69041166666666,24.6,25.94,32.23,955.76,-0.0,"21/01, 20:17:01"
-33.36875666666667,-70.69039166666667,24.6,25.95,32.23,955.78,-0.0,"21/01, 20:17:05"
-33.36875666666667,-70.69039166666667,24.6,25.95,32.23,955.78,-0.0,"21/01, 20:17:05"
-33.368768333333335,-70.69033666666667,24.6,25.97,32.23,955.79,0.0,"21/01, 20:17:09"
-33.368768333333335,-70.69033666666667,24.6,25.97,32.23,955.79,0.0,"21/01, 20:17:09"
-33.36891333333333,-70.69020333333333,24.61,25.92,32.23,955.73,-0.0,"21/01, 20:17:14"
-33.36891333333333,-70.69020333333333,24.61,25.92,32.23,955.73,-0.0,"21/01, 20:17:14"
-33.369143333333334,-70.68995166666667,24.61,25.99,32.23,955.81,0.03,"21/01, 20:17:19"
-33.369143333333334,-70.68995166666667,24.61,25.99,32.23,955.81,0.03,"21/01, 20:17:19"
-33.369231666666664,-70.68986666666666,24.63,25.94,32.12,955.74,-0.0,"21/01, 20:17:23"
-33.369231666666664,-70.68986666666666,24.63,25.94,32.12,955.74,-0.0,"21/01, 20:17:23"
-33.369205,-70.68966333333333,24.65,25.99,32.23,955.81,0.03,"21/01, 20:17:27"
-33.369205,-70.68966333333333,24.65,25.99,32.23,955.81,0.03,"21/01, 20:17:27"
-33.36844166666667,-70.690095,24.65,26.07,32.23,955.87,-0.0,"21/01, 20:18:12"
-33.36844166666667,-70.690095,24.65,26.07,32.23,955.87,-0.0,"21/01, 20:18:12"
-33.36837666666667,-70.69006333333333,24.58,26.0,31.93,955.81,-0.0,"21/01, 20:18:29"
-33.368425,-70.69014,24.54,25.93,31.94,955.82,0.08,"21/01, 20:18:34"
-33.368458333333336,-70.69029333333333,21.21,23.97,28.25,764.37,-526.09,"20/01, 21:59:21"
-33.36846166666667,-70.69031666666666,21.07,22.25,28.05,958.37,0.0,"20/01, 21:59:59"
-33.36848333333333,-70.69032833333333,21.09,22.24,28.15,958.38,-0.0,"20/01, 22:00:04"
-33.368495,-70.69034,21.07,22.24,28.15,958.37,0.07,"20/01, 22:00:08"
-33.368516666666665,-70.69034,21.05,22.23,28.15,958.35,0.0,"20/01, 22:00:12"
-33.368541666666665,-70.69033833333333,21.06,22.23,28.15,958.33,0.06,"20/01, 22:00:17"
-33.36856,-70.69034,21.06,22.23,28.15,958.33,-0.0,"20/01, 22:00:21"
-33.36853333333333,-70.69033833333333,21.03,22.14,28.16,958.24,0.0,"20/01, 22:00:25"
-33.36853333333333,-70.69033166666667,21.03,22.18,28.26,958.33,0.0,"20/01, 22:00:29"
-33.36852833333333,-70.690325,21.03,22.12,28.26,958.26,-0.0,"20/01, 22:00:33"
-33.368518333333334,-70.69032666666666,21.03,22.18,28.26,958.32,0.0,"20/01, 22:00:37"
-33.368491666666664,-70.690325,21.03,22.15,28.36,958.26,-0.0,"20/01, 22:00:41"
-33.36839166666667,-70.69035,21.03,22.23,28.56,958.32,0.0,"20/01, 22:00:45"
-33.36837666666667,-70.69030166666667,21.03,22.2,28.56,958.25,-0.0,"20/01, 22:00:49"
-33.368383333333334,-70.69027833333334,21.02,22.28,28.66,958.33,0.0,"20/01, 22:00:53"
-33.368386666666666,-70.69026333333333,21.02,22.26,28.56,958.33,-0.0,"20/01, 22:00:58"
-33.36839333333333,-70.69026333333333,21.02,22.3,28.56,958.37,0.05,"20/01, 22:01:02"
-33.36839666666667,-70.69026166666667,21.06,22.32,28.95,958.37,-0.0,"20/01, 22:01:06"
-33.36837666666667,-70.69027333333334,21.06,22.33,28.95,958.37,0.0,"20/01, 22:01:10"
-33.368383333333334,-70.69026333333333,21.07,22.33,28.85,958.37,0.0,"20/01, 22:01:14"
-33.368361666666665,-70.69027,21.12,22.28,28.85,958.29,-0.17,"20/01, 22:01:18"
-33.36835833333333,-70.690275,21.14,22.35,28.95,958.35,0.0,"20/01, 22:01:22"
-33.36835333333333,-70.69028,21.14,22.3,28.95,958.3,-0.19,"20/01, 22:01:26"
-33.368341666666666,-70.690265,21.17,22.38,29.25,958.38,-0.0,"20/01, 22:01:30"
-33.368343333333335,-70.69026333333333,21.17,22.32,29.15,958.32,-0.21,"20/01, 22:01:34"
-33.368356666666664,-70.690255,21.18,22.38,28.85,958.4,-0.0,"20/01, 22:01:38"
25.96,23.97,24.41,764.37,-586.05,"20/01, 22:56:57"
26.0,27.64,24.51,958.59,0.0,"20/01, 22:57:01"
26.02,27.67,24.6,958.59,0.06,"20/01, 22:57:05"
26.19,27.81,24.1,958.59,-0.0,"20/01, 22:57:46"
27.17,28.86,21.97,958.66,0.07,"20/01, 23:05:13"
27.17,28.86,21.88,958.63,-0.0,"20/01, 23:05:17"
27.64,29.42,21.36,958.62,0.0,"20/01, 23:17:56"
27.59,29.42,21.46,958.62,0.06,"20/01, 23:18:00"
27.63,29.39,21.75,958.62,0.01,"20/01, 23:18:04"
